diario,seccion,fecha,titulo,texto
perfil,politica,2023-09-16T00:00:00.000Z,Bullrich privada: intimidad y política," Además, la fórmula low cost de Tinelli en su regreso a la TV. Famosos en el ring: las chicanas en campaña. Y Nicolás Posse: el nuevo hombre fuerte de Milei Escuchá el anticipio de María Fernanda Villosio en Radio Perfil. "
perfil,politica,2023-09-16T00:33:16.000Z,"Milei hizo campaña ""paseando en motosierra"" por el centro de Olavarría"," La visita de Milei a Olavarría fue seguida por centenares de personas, con las se sacó fotos durante largo rato, incluso llegaron a alcanzarle dólares para autografiarlos, pero el momento más llamativo fue cuando le alcanzaron una motosierra, y el candidato la puso en marcha, agitándola en el vehículo en el que recorría la ciudad, mientras gritaba ""tiembla la casta"" y la multitud lo ovacionaba. Algunos de sus allegados aclararon luego que ""la máquina no tenía cadena, por eso no era peligrosa"", pero la escena al margen de esa circunstancia permitió que los críticos del libertario volvieran a cuestionarlo en redes sociales: La visita a Olavarría se produjo luego de la impactante entrevista con el periodista estadounidense Tucker Carlson, que se difundió este jueves y en 10 horas tuvo más de 300 millones de visualizaciones en todo el mundo, rompiendo incluso un récord que tenía otra entrevista del mismo Tucker en su momento a Donald Trump. Fue además el tercer día seguido de recorridas de campaña del líder libertario, que ya había pasado por Ramos Mejía, en el partido de La Matanza, y luego por Merlo. Este sábado la gira proselitista llevará a la cúpula de la LLA a la provincia de San Luis. En la Ciudad, Marra polemizó con Santoro En tanto, mientras Milei hacía campaña en Olavarría, el candidato libertario a efe de Gobierno porteño Ramiro Marra apuntó contra Leandro Santoro, con una nueva campaña de afiches en la que promete ""dejar al kirchnerismo fuera del ballotage"". “Santoro, vos no tenés chances de un ballotage. Yo sí”, señaló Marra a través de cartelería, respondiendo de esa manera a los afiches del candidato de Unión por la Ciudad que decían “si votaste a Lousteau y no te gusta el primo de Macri tenés alternativa”. “El kirchnerismo siempre fue una fuerza marginal en CABA, muchos más ahora que nos dejan este desastre económico. Con el crecimiento que esperamos para las generales tienen muchas chances de quedar terceros”, afirmó Marra. “Los porteños ya no se bancan la política del garantismo que deja a los delincuentes caminar libres por las calles. También se cansaron del gasto superfluo que hizo Larreta, de construir bicisendas en cualquier lado y cambiar baldosas para simular que gestionan”, se explayó. "
ambito,politica,2023-09-16T00:00:00.000Z,"Emilce Moler, a 47 años de la Noche de los Lápices: ""Tenemos las urnas en manos de negacionistas""",Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
perfil,internacional,2023-09-16T00:45:27.000Z,"Alberto Fernández habló en la Cumbre del G77 e insistió en que ""hay que cambiar el sistema financiero internacional"""," Además, Fernández llamó a ""unir el esfuerzo para dejar de depender de la ciencia y la tecnología de otros"", al recordar que la pandemia ""dejó al descubierto la desigualdad que impera en el mundo, cuando vimos que el 90% de las vacunas que se producían quedaban en manos de los diez países más poderosos"". Alberto Fernández en La Habana. Fotos: NA ""Semejante desigualdad nos obliga a repensar y allí el G77+China tiene mucho por decir"", afirmó el mandatario en el Palacio de Convenciones de La Habana, donde se realizó la ceremonia inaugural y se desarrolló el debate general. Asimismo, Fernández recordó que en la Cumbre del G20 -de la que participó la semana pasada en India- se aprobó ""algo de estricta justicia: que la Unión Africana sea parte del grupo"". ""África ha sido un continente saqueado en sus riquezas por las potencias del mundo, y esto es un acto de reparación que garantiza que ese saqueo no siga. También propuse que el año entrante, con la presidencia de Brasil, se incorpore la CELAC, porque no es posible que la voz del Caribe no esté representada cuando es quien más padece el cambio climático"", agregó. El jefe de Estado sostuvo que para que la situación de desigualdad se altere ""lo primero que hay que hacer es cambiar el sistema financiero internacional"", y añadió que ""el Banco Mundial y el FMI aplican las mismas lógicas ortodoxas que nos llevaron a este estado de crisis, de concentración del ingreso en unos pocos y a una distribución de la pobreza en millones de seres humanos"". ""El mundo sigue teniendo un mundo dominante y un mundo dominado y eso hay que terminarlo de una vez y para siempre. Nosotros, actores del sur global, tenemos lo que el mundo central necesita: alimentos y energías. Tenemos una enorme oportunidad de exigir igualdad"", remarcó. Por último, Fernández expresó su agradecimiento a todos los países que componen el bloque del G77 y han acompañado a la Argentina en su reclamo de soberanía sobre las Islas Malvinas. ""Llevamos muchos años demandando al Reino Unido que vuelva a sentarse a una mesa de negociación que nos permita resolver, dentro de la lógica del multilateralismo, los problemas que tenemos, que no son otros que ver quebrada nuestra soberanía territorial por la ocupación indebida de tierras argentinas"", cerró. Nueva York, próxima etapa en su agenda internacional El G77+China es un bloque integrado por 134 naciones de Asia, África y América Latina y en el encuentro de este año se abordará la necesidad de promover un nuevo orden internacional menos ""injusto"". Más de una treintena de jefes de Estado y de gobierno acudieron a la reunión de alto nivel en la capital cubana, entre ellos Luiz Inácio Lula da Silva; Gustavo Petro, de Colombia; el sudafricano Cyril Ramaphosa y el secretario General de la ONU, el portugués Antonio Guterres. El evento concluirá el sábado con una nueva sesión de debate y la presentación de la declaración final. Tras ello, Fernández viajará el domingo a Nueva York para dar su último mensaje ante la Asamblea General de las Naciones Unidas. "
perfil,deportes,2023-09-16T02:06:32.000Z,"Guido Pella anunció que deja el tenis luego de 16 temporadas: ""Gracias, fue un viaje increíble"""," Pella hizo el anuncio de su retiro en sus redes sociales con un emotivo posteo: ""Decidí ponerle punto final a mi carrera como tenista profesional. Fue un viaje increíble, con muchas cosas lindas que me permitieron vivir momentos que no todos pueden y por eso voy a estar eternamente agradecido. Creo que yo pude cumplir con casi todo lo que me propuse en el tenis, y ahora será momento de buscarlo objetivos en otros lados. Hasta siempre"". El bahiense fue un eslabón importante del equipo que logró el histórico título en la Copa Davis 2016, ocasión en la que abrió el triunfo ante Polonia, donde le ganó el primer punto a Michał Przysiężny. En ese camino, ante Italia había jugado el dobles con Juan Martín Del Potro en la victoria ante los dobles Fognini-Lorenzi, y ante Gran Bretaña derrotó a Kyle Edmund en el segundo punto, pero cayó ante Andy Murray en el cuarto. En su carrera individual conquistó un solo título: el ATP de Sao Paulo en 2019, y también levantó las copas de otros 13 torneos de nivel Challenger, mientras que en dobles fueron 6 sus festejos, también en Challenger. Y de ese 2019 en el que al lugar 20 del ranking de la ATP, quedará la postal del recuerdo de su llegada a los cuartos de final de Wimbledon. "
perfil,deportes,2023-09-16T01:57:00.000Z,"San Lorenzo recibe a Racing en el Nuevo Gasómetro: hora, TV y posibles formaciones"," ¿A qué hora juegan San Lorenzo - Racing? El partido se disputará el sábado 16 de septiembre a las 17:00 de la Argentina en el estadio Pedro Bidegain. El árbitro principal del partido será Fernando Rapallini, que estará acompañado por Cristian Navarro, el asistente número uno, Iván Núñez, el asistente número dos, y el cuarto árbitro será Americo Monsalvo. Mientras que en el VAR estarán Héctor Paletta y Ezequiel Brailovsky. ¿Por dónde ver San Lorenzo-Racing? El partido será transmitido por la señal de ESPN Premium. ¿Cómo llegan los equipos? Los dirigidos por Rubén Darío Insúa vienen de igualar 1-1 ante Unión, en condición de visitante. Ante Racing, tendrá la chance de despegarse un poco más en la tabla anual, donde le saca una diferencia de ocho puntos a la Academia. Los dirigidos por Fernando Gago no vienen bien y ya sufrieron dos duros golpes en cuestión de días. Primero sufrió la eliminación de la Copa Libertadores, a manos de Boca, que le ganó por penales en el Cilindro. Unos días después, jugó ante Estudiantes por la Copa de la Liga y ganó 2-1. Parecía recuperarse del golpe, pero... llegó otro cachetazo más. Se enfrentó a Huracán por los octavos de final de la Copa Argentina y quedó afuera. Y el resultado fue contundente: 5-3 y con varios rendimientos bastante bajos. Para colmo, no podrá contar con Leonardo Sigali, su capitán. Posibles formaciones San Lorenzo: Augusto Batalla; Agustín Giay, Rafael Pérez, Gastón Campi, Gastón Hernández, Malcom Braida; Jalil Elías, Gonzalo Maroni; Nahuel Barrios, Federico Girotti, Iván Leguizamón. DT: Rubén Darío Insúa "
ambito,finanzas,2023-09-16T00:00:00.000Z,Dólar blue hoy: a cuánto cotiza este sábado 16 de septiembre,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,finanzas,2023-09-16T00:00:00.000Z,Dólar hoy: a cuánto opera este sábado 16 de septiembre,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,lifestyle,2023-09-16T00:00:00.000Z,Cómo elegir el médico perfecto para tu primera cirugía estética,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,lifestyle,2023-09-16T00:00:00.000Z,"Infancias y adolescencias en riesgo: entre los ideales, el amor y la ternura en la cultura actual",Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,opinion,2023-09-16T00:00:00.000Z,"Los videojuegos prepararon para el futuro, todo el tiempo",Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,opinion,2023-09-16T00:00:00.000Z,El poder del arte: ¿hasta dónde puede llegar?,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
lanacion,sociedad,2023-09-16T23:44:00.633Z,Seis personas resultaron heridas por el derrumbe del techo de una iglesia evangélica,"escuchar Un templo evangélico que estaba en construcción en el barrio Nueva Córdoba se derrumbó y, como consecuencia, seis personas que estaban trabajando allí resultaron heridas. El accidente ocurrió este viernes por la tarde en la institución ubicada en la calle Ángelo de Peredo 142, entre la calle Obispo Trejo y la avenida Vélez Sarsfield, en ese zona de la capital cordobesa. En ese momento, alrededor de las 16.50, los operarios estaban trabajando en la edificación del centro religioso llamado “Nueva Vida”. Por circunstancias que todavía se desconocen y son materia de investigación, la losa cedió y el grupo de trabajadores sufrió lesiones de distinta consideración, según señala La Voz del Interior. Frente a lo ocurrido, personal de Salud llegó al lugar para asistir a los heridos, junto a dotaciones de bomberos que trabajaron en la zona. De acuerdo al portal El Doce.Tv, los trabajadores afectados tienen 41, 39, 37, 28, 24 y 19 años. Tres de ellos sufrieron traumatismos de cráneo, mientras que a los tres restantes les diagnosticaron politraumatismos. Tragedia en Córdoba: tres operarios murieron asfixiados cuando trabajaban en un pozo de bombeo Un caso de similares características pero de mayor gravedad ocurrió el 30 de agosto cuando tres operarios de una empresa privada fallecieron en la localidad cordobesa de Oncativo al quedar atrapados dentro de un pozo de bombeo, presuntamente al inhalar un gas tóxico. Con ellos estaba un cuarto trabajador, que logró salir. Los hombres- indica el diario La Voz- eran empleados de la empresa Hidrocentro SRL de Villa María. En el momento de la tragedia, estaban haciendo reparaciones en las tuberías de un circuito cloacal de la zona. En tanto, los trabajadores abrieron una válvula de la que primero empezó a salir gas y, luego, un líquido que tapó casi por completo el pozo, que era muy angosto y de 20 metros de profundidad. De acuerdo a las primeras hipótesis, todo habría salido de esa vieja cañería, que todavía almacenaba líquido. La hipótesis que manejan los investigadores e LA NACION Temas Córdoba"
perfil,deportes,2023-09-16T02:48:48.000Z,"Atlanta United enfrenta al Inter Miami, con la esperanza de que no juegue Lionel Messi: horario, TV y formaciones"," ¿A qué hora juega Messi en Inter Miami vs. Atlanta United, por la MLS? Se disputará desde las 18.00 (hora de Argentina) en el Mercedes-Benz Stadium. ¿Por dónde ver en vivo a Messi en Inter Miami vs. Atlanta United, por la MLS? Será transmitido exclusivamente por Apple TV y para ello deberás contar con una suscripción mensual y/o anual de esta plataforma de streaming, que tiene un costo mensual de 7 dólares. ¿Cómo llegan los equipos? Atlanta marcha 6° en la tabla de la Conferencia Este con 42 unidades, bien posicionado en la búsqueda por meterse en la definición del torneo. En el último encuentro empataron 2-2 vs. FC Dallas en condición de visitante y ahora buscarán volver a la victoria como local ante Inter Miami y Lionel Messi. Las Garzas de Gerardo Martino vienen de consagrarse en la Leagues Cup y además se metieron en la final de la U.S. Open Cup, donde se enfrentarán a Houston Dynamo. La última fecha vencieron 3-2 a Sporting KC en Florida. Facundo Farías y Leonardo Campana, por duplicado, fueron los autores de los goles. Probables formaciones Atlanta United: Bradley Guzan; Brooks Lennon, Miles Robinson, Luis Abram, Caleb Wiley; Saba Lobjanidze, Santi Sosa, Thiago Almada, Amar Sejdić, Tler Wolff; Georgios Giakoumakis. DT: Gonzalo Pineda. "
