diario,seccion,fecha,titulo,texto
perfil,deportes,2023-09-23T00:17:40.000Z,Francisco Cerúndolo le ganó a Alejandro Davidovich Fokina por la Laver Cup," En Vancouver, el tenista argentino superó al malagueño en 1 hora y 39 minutos de juego. El primer set duró 37' mientras que el segundo superó la hora por 7 minutos. El primer punto del equipo rojo lo consiguió el estadounidense Ben Shelton, que venció a Arthur Fils por 7-6(4), 6-1 en 1 hora 19 minutos. El próximo encuentro del campeonato lo jugarán el francés de 37 años Gaël Monfils y el joven canadiense de 23 años, Félix Auger-Aliassime "
perfil,deportes,2023-09-23T00:04:59.000Z,"Álvaro Recoba y un llamado de atención a Marcelo Bielsa: ""No le vamos a tener paciencia"""," El inicio del ciclo de Bielsa como técnico de Uruguay fue muy positivo. Debut con goleada contra Nicaragua en un amistoso internacional, otro amistoso con victoria por 2-0 frente a Cuba, el estreno con festejo en las Eliminatorias ante Chile y para contrarrestar la dura derrota con Ecuador, pese a arrancar arriba en el marcador. El ex futbolista de Inter de Milán e ídolo de Nacional (U) fue consultado por el combinado Celeste bajo la dirección del Loco y no dudó con su respuesta: “Primero me resulta raro que esté (en la Selección de Uruguay), pero para bien. Paciencia no le vamos a tener. No hay paciencia en el fútbol. Cuando juega la selección no hay paciencia, hay que ganar”, se sinceró el uruguayo. Anteriormente, El Chino había reconocido que el rosarino “es un entrenador de élite, muy detallista, pero que los jugadores van a tener que responder” a las indicaciones del ex DT de la Selección Argentina. El conjunto de Bielsa, tras el triunfo ante La Roja en Montevideo y la derrota frente al Tri en Quito, tendrá dos partidos difíciles en la próxima doble fecha de Eliminatorias. Visitará a Colombia y después recibirá a Brasil. En noviembre, deberá enfrentarse con la selección campeona del mundo y Bolivia. "
ambito,sociedad,2023-09-23T00:00:00.000Z,Fin de semana: 3 destinos perfectos para hacer una escapada exprés,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,sociedad,2023-09-23T00:00:00.000Z,Procrear: cómo participar del sorteo para acceder a la casa propia,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
perfil,politica,2023-09-23T00:10:17.000Z,Las principales frases que dejó Javier Milei en Parque Norte," Las principales definiciones y frases del libertario: ""La decadencia argentina arrancó hace poco más de 100 años con el primer populista llamado Hipólito Yrigoyen que contaminó con ideas socialistas un país que crecía"" ""El mejor presidente de la historia argentina fue Carlos Saúl Menem"". ""Hoy la inflación viene viajando al 470% si miramos la inflación en alimentos. Por lo tanto, estamos camino a una hiperinflación, por eso es una locura que se defienda tener un Banco Central"". ""El Estado se lleva el alimento de 280 millones de seres humanos y en Argentina hay 5 millones de argentinos que no tienen para comer"". ""Tenemos indicadores sociales que son peores que los del 2001"". ""La deuda es un impuesto futuro y esto quiere decir que la fiesta de hoy se la estaríamos pasando a nuestros hijos, a nuestros nietos, bisnietos y a gente que ni siquiera nació"". ""Si yo les dijera que ustedes tienen un banco central que les hizo perder la mitad de su tenencia monetaria porque generó a lo largo de estos años 100% de inflación, ¿Cómo considerarían ese banco central? Malo. Ese banco central se llama Reserva Federal"". ""Vamos a tener 8 ministerios: Economía, infraestructura, relaciones exteriores, capital humano, seg uridad, justicia, defensa y del interior uridad, justicia, defensa y del interior ""Al que venga a gastar, le corto la mano"" ""Si Argentina hiciera las reformas de mercado en un plazo de 35 a 45 años podría alcanzar el nivel de vida de Estados Unidos"". ""Hoy liquidar el banco central implica rescatar una deuda de 40.000 millones de dólares, 20.000 millones de dólares en Leliqs y 10.000 millones de dólares de la base monetaria. La base monetaria la podemos rescatar con los dólares que tiene el Banco Central y necesitamos una ingeniería financiera para poner en valor esos 120.000 millones de dólares de títulos públicos para poder rescatar los 30.000 millones de dólares de Leliqs"". ""Tenemos que llevar el mercado laboral a un sistema de seguro de desempleo"". ""Vivimos en un país inmundo en términos de inflación"". ""En los últimos 20 años los políticos delincuentes que ocupan el poder nos robaron 280.000 millones de dólares haciendo el plan fotocopiadora"" ""En 35 años vamos a volver a ser una potencia mundial"". "
perfil,politica,2023-09-23T00:34:20.000Z,"Escándalo en Entre Ríos: el intendente de La Paz acusó al gobernador Bordet de ""venir a hacer proselitismo"""," Esas palabras pusieron en una incómoda posición a Bordet, que evitó responder a la polémica en ese momento, en que se entregaban 100 viviendas para los vecinos damnificados por la inundación padecida en el año 2016. Había en el lugar una buena cantidad de militantes. En el marco de la aparición del funcionario en la localidad entrerriana de La Paz, su intendente, el radical Bruno Sarubi, lo cruzó a viva voz en pleno discurso señalando que “no había que partidizar las obras y los actos de gobierno”. La ceremonia se desarrolló en la Escuela Secundaria N° 15 Domingo French de La Paz. También se hizo presente el candidato a la gobernación provincial por el Frente de Todos, Adán Bahl, quién actualmente ostenta el cargo de apoderado de la ciudad de Paraná. Gustavo Bordet, gobernador de Entre Ríos “Estas obras no son de los partidos políticos, son de ustedes, los vecinos. No importa quien las hace, lo importante es que las hicieron. Estoy cansado de escuchar a los políticos pelearse por a quiénes pertenecen las obras, Basta de eso, basta de partidizar las obras y los actos de gobierno”, enfatizó el intendente Sarubi. En Entre Ríos el kirchnerismo tiene una dura pelea. Las Primarias, Abiertas, Simultáneas y Obligatorias las ganó Juntos Por el Cambio, con Rogelio Frigerio como candidato a gobernador. Córdoba y otras 11 provincias no pagarán el bono a los trabajadores anunciado por Sergio Massa Gustavo Bordet Ante el contexto de militancia del que estaba tenido el escenario, Bruno Sarubi manifestó que “lamentó ver algunas remeras de una candidatura. No tenía pensado decirlo, pero es tal la indignación que tengo que lo voy a decir porque este es uno de los actos más importantes de mi gestión”. "
ambito,lifestyle,2023-09-23T00:00:00.000Z,La revolución de la igualdad salarial de género,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,opinion,2023-09-23T00:00:00.000Z,¿Qué se espera de la Fed y la suba de tasas al cierre del 2023?,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
ambito,opinion,2023-09-23T00:00:00.000Z,Bonos corporativos: ¿el safe heaven argentino en 2023?,Si tenés dudas comunicate con nosotros a [email protected] Llamanos al (54) 11 4556-9147/48 o al (54) 11 4449-3256 de lunes a viernes de 10 a 18
perfil,politica,2023-09-23T01:06:22.000Z,Qué proponen los principales partidos políticos sobre el alquiler social," Con respecto a la perspectiva que tienen los principales candidatos a presidente sobre el tema de los alquileres sociales, el martillero público, Federico Pagura comentó: “Hubo un evento donde estuvieron los principales equipos económicos de los candidatos a presidente hablando sobre locación y lo que cada uno ve a futuro de lo que implementaría si lograran llegar al poder ejecutivo”. La postura de la Libertad Avanza “El más disruptivo fue Ramiro Marra”, señaló Pagura sobre el miembro de la Libertad Avanza. “Va directamente detrás de la derogación y deja todo para libre mercado. En ese sentido, es algo sin ningún tipo de regulación derogar esta ley y que las partes acuerden”, agregó. Juntos por el Cambio se vió contradictorio en sus propuestas Por el lado del equipo de Patricia Bullrich, el martillero público expresó: “Gran parte de lo que tienen de fundamentos se sacó de un proyecto de Iván Kerr, sin embargo, dijeron algo totalmente diferente a lo que en ese momento se planteó. Él va más a que haya algún tipo de regulación pero que las partes puedan acordar”. El oficialismo expuso unas medidas poco exploradas “El oficialismo planteó una de las medidas más disruptivas y poco exploradas”, aseveró el entrevistado, que después explicó: “Consistía en hacer un fondo y que se subsidie directamente a quien hoy está dando en locación para que reciba el precio pleno del contrato. Así deja de estar perdiendo por la inflación y le daría una certeza de haber cobrado los 3 años”. "
