"segment_id","text","start","duration","vid"
1,"Daniel te meto en este tema porque es un",0.179,4.501,"QpCNawZ1YLE"
2,"tema que vos sos precandidato a",3.24,2.18,"QpCNawZ1YLE"
3,"presidente",4.68,3.179,"QpCNawZ1YLE"
4,"fuiste gobernador de la provincia de",5.42,3.58,"QpCNawZ1YLE"
5,"Buenos Aires que también es una zona",7.859,3.421,"QpCNawZ1YLE"
6,"caliente digo es un tema que ningún",9,4.32,"QpCNawZ1YLE"
7,"político lo puede eludir hay que",11.28,3.779,"QpCNawZ1YLE"
8,"asumirlo para que está peor esto Daniel",13.32,3.979,"QpCNawZ1YLE"
9,"no",15.059,2.24,"QpCNawZ1YLE"
10,"yo jamás que comentar los problemas o",17.48,6.28,"QpCNawZ1YLE"
11,"hacer declaraciones oportunistas lo que",20.1,5.66,"QpCNawZ1YLE"
12,"me han visto actuar ocho años",23.76,4.8,"QpCNawZ1YLE"
13,"dándole un combate muy frontal al",25.76,5.639,"QpCNawZ1YLE"
14,"narcotráfico y dividiendo las cosas no",28.56,5.46,"QpCNawZ1YLE"
15,"el adicto es un enfermo es un tema de",31.399,5.32,"QpCNawZ1YLE"
16,"salud pública en narcotraficante es un",34.02,4.98,"QpCNawZ1YLE"
17,"delincuente mercadores mercaderes de la",36.719,4.801,"QpCNawZ1YLE"
18,"muerte y como tal hay que tratarlos con",39,4.98,"QpCNawZ1YLE"
19,"toda la fuerza de la ley en eso Yo estoy",41.52,4.68,"QpCNawZ1YLE"
20,"a la derecha de la derecha Jorge que",43.98,4.62,"QpCNawZ1YLE"
21,"quede claro si los tipos están",46.2,4.8,"QpCNawZ1YLE"
22,"dispuestos a todo el estado tiene estar",48.6,4.799,"QpCNawZ1YLE"
23,"dispuesto a todo también usar todas las",51,4.559,"QpCNawZ1YLE"
24,"herramientas dentro del Estado derecho",53.399,5.101,"QpCNawZ1YLE"
25,"para combatirlos y como una vez dijo",55.559,5.401,"QpCNawZ1YLE"
26,"Lula cuando habían atacado la rosina",58.5,5.28,"QpCNawZ1YLE"
27,"narcotraficante con disparos con armas",60.96,5.1,"QpCNawZ1YLE"
28,"de guerra cuando le cuestionaron en qué",63.78,3.6,"QpCNawZ1YLE"
29,"manera reaccionó el gobierno dijeron",66.06,3.66,"QpCNawZ1YLE"
30,"dijo y qué quieren que le tiremos con",67.38,5,"QpCNawZ1YLE"
31,"pétalo de Rosa ahora pero Daniela",69.72,5.1,"QpCNawZ1YLE"
32,"acaba de decir yo estoy a la derecha de",72.38,5.02,"QpCNawZ1YLE"
33,"la derecha qué significa esto se habla",74.82,5.22,"QpCNawZ1YLE"
34,"Yo soy de movilizar las fuerzas armadas",77.4,6.42,"QpCNawZ1YLE"
35,"la gendarmería vos estarías a favor de",80.04,5.16,"QpCNawZ1YLE"
36,"eso",83.82,5.159,"QpCNawZ1YLE"
37,"todos los recursos humanos logísticos de",85.2,5.48,"QpCNawZ1YLE"
38,"inteligencia del Estado fuerzas",88.979,6.481,"QpCNawZ1YLE"
39,"federales provinciales un trabajo de",90.68,7.32,"QpCNawZ1YLE"
40,"inteligencia el relevamiento para para",95.46,6.06,"QpCNawZ1YLE"
41,"combatirlo para que no avancen estas",98,5.799,"QpCNawZ1YLE"
42,"organizaciones criminales que están",101.52,5.88,"QpCNawZ1YLE"
43,"generando una zozobra un gran daño no",103.799,6,"QpCNawZ1YLE"
44,"solamente obviamente la la los",107.4,4.499,"QpCNawZ1YLE"
45,"asesinatos que han llevado adelante sino",109.799,4.68,"QpCNawZ1YLE"
46,"también en este caso la repercusión",111.899,5.72,"QpCNawZ1YLE"
47,"mundial que ha tenido este episodio",114.479,7.341,"QpCNawZ1YLE"
48,"contra la familia Messi este mensaje",117.619,8.32,"QpCNawZ1YLE"
49,"intimidatorio en este caso sea Messi sea",121.82,7.24,"QpCNawZ1YLE"
50,"Doña Rosa sea Pepito en el barrio al que",125.939,6.081,"QpCNawZ1YLE"
51,"sea nosotros en esto tenemos que ser",129.06,6.48,"QpCNawZ1YLE"
52,"muy determinantes y en cuanto en el",132.02,5.5,"QpCNawZ1YLE"
53,"fuerte compromiso y tiene que ser un",135.54,3.3,"QpCNawZ1YLE"
54,"compromiso de todos los sectores de la",137.52,3.74,"QpCNawZ1YLE"
55,"vida política",138.84,2.42,"QpCNawZ1YLE"
1,"[Música]",0.1,24.229,"f4tRPcKhfrQ"
2,"bueno Buen día a todos gracias por",26.3,5.379,"f4tRPcKhfrQ"
3,"acompañarnos una vez más la verdad que",28.98,3.9,"f4tRPcKhfrQ"
4,"para mí siempre es un orgullo enorme",31.679,3.72,"f4tRPcKhfrQ"
5,"venir acá al instituto que es un orgullo",32.88,4.88,"f4tRPcKhfrQ"
6,"de nuestra ciudad para toda la Argentina",35.399,6.421,"f4tRPcKhfrQ"
7,"y es una tranquilidad para todos los que",37.76,5.979,"f4tRPcKhfrQ"
8,"viven visitan todos los días la ciudad",41.82,3.54,"f4tRPcKhfrQ"
9,"de Buenos Aires realmente es un orgullo",43.739,4.201,"f4tRPcKhfrQ"
10,"este instituto que está a la altura del",45.36,5.219,"f4tRPcKhfrQ"
11,"compromiso que cada policía de la ciudad",47.94,4.799,"f4tRPcKhfrQ"
12,"tiene con los vecinos de Buenos Aires y",50.579,3.8,"f4tRPcKhfrQ"
13,"con lo que nos visitan todos los días",52.739,4.681,"f4tRPcKhfrQ"
